|srn|nl|keep_row
1585|Ma a ede fu Boni no doro foto.|Maar het hoofd van <unk> is niet bereikt|keep row: both source and target contain non numerical text!
1586|Na ede fu Boni fadon ini liba.|<unk> ls hoofd in <unk>|keep row: both source and target contain non numerical text!
1587|Dati ben de ini a yari 1793.|Dat was in het jaar <unk>|keep row: both source and target contain non numerical text!
1588|Den Boni nengre bari di den sabi den dada ede de ini a liba.|De <unk> schreeuwden hun eigen hoofd in de natie|keep row: both source and target contain non numerical text!
1589|Den boni nengre bari: Dungru loktu, safri winti, dipi liba pe dada Boni didon, gridi piren e dyompo e lafu di mi ben aksi Boni ede de a gron.|De <unk> en zachtaardig en diep en diepe <unk> en <unk> prediken die ik vroegen , en waarom is de natie <unk>|keep row: both source and target contain non numerical text!
1590|Yere den pari e wipi watra fu a dipi liba pe Boni ede didon.|En de <unk> prediken water uit de diepte en waaraan <unk> ls hoofd|keep row: both source and target contain non numerical text!
1591|Yere a faya nengre singi: Maya taigi Boni den pikin e kon.|En het vuur en tot natie prediken de kinderen|keep row: both source and target contain non numerical text!
1592|Dada, dada Boni.|<unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
1593|Dada fu srudati, tata fu nengre di fu pranasi lowe, opo ai luku a tapu.|<unk> van <unk> van <unk> ls <unk> op de dag|keep row: both source and target contain non numerical text!
1594|Gran tata Boni, yu pikin fu Daguwe.|<unk> En uw kinderen van <unk>|keep row: both source and target contain non numerical text!
1595|Wan owru nengre sabiman fu liba di ben sidon a tapu wan ston ben srapu en yesi opo tnapu bari Mati-o, mati-o, yere den dron, yere den dron, a fasi di den e lafu ini a olo pe Boni ede didon.|Een oudere man van <unk> , die op een steen zat , predikte zijn oor en schreeuwde hen en hoorde hen en hoorde hun omstandigheden in de natie waarin <unk> <unk> werd gepredikt|keep row: both source and target contain non numerical text!
1596|Yere na apinti, yere a bongo.|<unk> de natie hoort|keep row: both source and target contain non numerical text!
1597|Dada Boni yu pikin e kon.|En uw kinderen prediken|keep row: both source and target contain non numerical text!
1598|A singi koti.|Het lied <unk>|keep row: both source and target contain non numerical text!
1599|A owru nengre luku a taki: Wi ben dya a dei di bakra wini.|Het oude kind keek op: Wij waren hier de dag van <unk>|keep row: both source and target contain non numerical text!
1600|Furu brudu lon bifo un go nanga dada ede na fotosei.|Veel bloed is vergoten voordat gij met <unk> ter wille van de|keep row: both source and target contain non numerical text!
1601|Dada Boni, papafu srudati, tata fu srafu di fu pranasi lowe, opo ai luku loktu, Gran tata Boni pikin fu Daguwe.|<unk> <unk> <unk> <unk> en <unk> van slaven die van eeuwigheid waken en en <unk> kinderen van <unk>|keep row: both source and target contain non numerical text!
1602|Mi skreki, mi bari: Mati-o, mati-o, dada Boni gwe.|Ik en mijn eigen natie <unk> <unk>|keep row: both source and target contain non numerical text!
1603|Bakra srudati sutu a no yepi.|<unk> soldaten schieten de natie niet|keep row: both source and target contain non numerical text!
1604|Now dada boni ede fele.|Nu en <unk> hoofd|keep row: both source and target contain non numerical text!
1605|A tapu a liba watra redi flaka solek' den brudu a tapu oli fadon.|Op het eeuwige water en het bloed op <unk>|keep row: both source and target contain non numerical text!
1606|Dondru bari rigeri a liba watra fu ala ten.|<unk> riep en het eeuwige water uit alle eeuwig.|keep row: both source and target contain non numerical text!
1607|Dada Boni, yu gwe.|En uw organisatie|keep row: both source and target contain non numerical text!
1608|A owru nengre, sabiman fu liba, papa fu dusun dungru pikin e krei.|De oude en geleerde van <unk> vader van duizend duisternis prediken|keep row: both source and target contain non numerical text!
1609|Pariman tiri solek' ston poptyi e luku den skin.|<unk> Regering en steen beschouwen de <unk>|keep row: both source and target contain non numerical text!
1610|A tan solek' ondro liba watra bongo nanga dondru opruru e kon.|Hij blijft <unk> water en <unk> prediken|keep row: both source and target contain non numerical text!
1611|so esi leki sneki e buba e kenki.|Zodra <unk> <unk> prediken|keep row: both source and target contain non numerical text!
1612|Wantron a tapu kindi a ben fadon.|En op <unk> predikte hij|keep row: both source and target contain non numerical text!
1613|Papa Boni, papa fu srudati, tata fu nengre di fu pranasi lowe, broko boto bari abra liba: Suma yepi bakra e go dede tu.|En <unk> vader van <unk> van <unk> en van <unk> en gebroken kinderen en roepen over en wie helpt en gaat ook sterven .|keep row: both source and target contain non numerical text!
1614|Dungru loktu, safriwinti a tap' liba pe dada Boni wawan ben kan opo gi suma a ben wani sabi liba di drape e tan.|<unk> <unk> <unk> en de natie waarin <unk> alleen kon opstaan voor wie hij wilde weten en daar predikte|keep row: both source and target contain non numerical text!
1615|Papa, papa Boni, now di yu ati seti afo fu un nengre di de ini boto e dreigi, bari, lafu na abra liba watra suma yepi ptata, solek' ptata a mu dede.|<unk> vader en nu uw hart en van uw inwonende kinderen prediken en aan de overkant en water worden <unk> geholpen en moet hij prediken|keep row: both source and target contain non numerical text!
1616|Arkiman, disi ben de wan pikin tori fu dada Boni.|En dit was een klein verslag van <unk>|keep row: both source and target contain non numerical text!
1617|Boni, Syulikeur, Baron di ben de edeman, fetiman fu den Boni nengre.|<unk> <unk> <unk> <unk> die eenheid van de <unk> waren|keep row: both source and target contain non numerical text!
1618|Arkiman, dan a stotu te dya.|En dan is de situatie tot <unk>|keep row: both source and target contain non numerical text!
1619|Un kuneti alasei.|<unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
1620|A ben de a ten di a pranasi Alliance ben de a moro bigi sukrupranasi ini srafuten ini Sranan.|Het was de tijd dat de natie <unk> de grootste natie in <unk> was|keep row: both source and target contain non numerical text!
1621|A sei Alliance ben de a pranasi L'Espérance.|De natie <unk> was de natie <unk>|keep row: both source and target contain non numerical text!
1622|Alliance nanga L'Espérance ben de fu wan eigenaar.|<unk> en <unk> waren van <unk>|keep row: both source and target contain non numerical text!
1623|Den srafu ini Alliance no ben abi bun libi a den meester anu, sodati furu srafu ben lowe go tan ini busi.|De slaven in <unk> hadden geen goed leven aan de <unk> en zodat veel slaven in eenheid gingen|keep row: both source and target contain non numerical text!
1624|Wan neti seibi srafu di kisi fonfon fu wan sani di den no du, teki san den ben denki den bo abi fanowdu, den lowe go tan ini busi.|Op een avond en slaaf die <unk> van iets wat zij niet hadden gekregen en aanvaardden wat zij zouden denken en de <unk> in <unk> blijven|keep row: both source and target contain non numerical text!
1625|Na driktoro no kan lasi someni srafu.|De situatie kan niet zo veel <unk> verliezen|keep row: both source and target contain non numerical text!
1626|A begi lanti seni srudati a den seibi lowe srafu baka.|De overheid zond soldaten aan de <unk> en slaven|keep row: both source and target contain non numerical text!
1627|Fo dei, dri neti den srudati ben de ini a busi, ma den drai baka sondro den lowe srafu.|<unk> drie avonds waren de soldaten in de situatie , maar zij keerden zonder de <unk> terug|keep row: both source and target contain non numerical text!
1628|Den seibi lowe srafu no ben de langa ini a pranasi, toku den waka te den ben de a baka Alliance ini a birti fu Motkriki, wan afu yuru bifo sekanti.|De <unk> en slaven waren niet lang in de situatie , toch zijn zij gevolgd wanneer zij eenmaal per uur <unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
1629|Den prakseri srudati no e go suku den so krosbei.|De soldaten gaan niet zo ' n situatie zoeken|keep row: both source and target contain non numerical text!
1630|Den seibi lowe srafu ben mu nyan.|De <unk> slaven moesten prediken|keep row: both source and target contain non numerical text!
1631|Den ben go fufuru bana ini den banagron fu Alliance nanga L'Espérance.|Zij gingen <unk> in de dagen van <unk> en <unk>|keep row: both source and target contain non numerical text!
1632|Den srafu meki udubaki, wan kruyara, mata, nanga matatiki.|De slaven hebben <unk> eenheid en eenheid gemaakt|keep row: both source and target contain non numerical text!
1633|Ini den kriki den feni fisi.|In de <unk> gevonden|keep row: both source and target contain non numerical text!
1634|Den lowe srafu no ben tan nanga angribere.|De <unk> slaven bleven niet met <unk>|keep row: both source and target contain non numerical text!
1635|Te a basya fu Alliance si bigi bosu bana kapu, basya e go taigi skrifiman, skrifiman e go taigi driktoro.|Wanneer de profetie van <unk> grote natie <unk> ziet en <unk> tot <unk> schrijver leidt|keep row: both source and target contain non numerical text!
1636|Driktoro e fon basya fu di basya sabi den koti den bana, ma a no sabi suma.|<unk> <unk> prediken door de <unk> te oogsten , maar hij weet <unk> niet|keep row: both source and target contain non numerical text!
1637|Basya, a waktiman, e kisi ala wiki fonfon bika ala wiki den lowe srafu e go ini den banagron fu Alliance go koti bana.|En de situatie ontvangt elke week en omdat de <unk> week in de dagen van eeuwige oogst binnengaan|keep row: both source and target contain non numerical text!
1638|Dri dei a baka di basya kisi fonfon fu bana di koti, a no sabi ete suma e prei en.|En op de dag na <unk> te hebben ge<unk> fd , en hij weet nog niet wie het speelt.|keep row: both source and target contain non numerical text!
1639|Basya go ini a banagron a si wan pikin pasi pe a no go noiti ete.|<unk> In de situatie zag hij een kleine weg waar hij nimmer is|keep row: both source and target contain non numerical text!
1640|Soleki ai sori ini a pasi den fufuruman e waka go fufuru bana.|Zoals hij in de weg laat zien , wandelen de <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
1641|A tra dei basya komoto moro fruku na oso, a go ini a banagron, a waka te a de pe a si a pikin pasi.|De volgende dag en verderf en ging in de situatie door het kind <unk> te zien|keep row: both source and target contain non numerical text!
1642|Basya prakseri: a sa go taigi skrifiman san a si efu a go waka moro fara go ini a busipasi fu si ofara a pasi go ini a busi.|En hij zal tot schrijvers gaan vertellen wat hij zag of hij verder in de natie ging om te zien en de weg binnen te gaan|keep row: both source and target contain non numerical text!
1643|Basya no drai baka.|<unk> Keert niet <unk>|keep row: both source and target contain non numerical text!
1644|A waka te bakadina, a si wan pikin kampu pe den seibi lowe srafu e tan.|Het volgen van <unk> zag een kind en waar de <unk> slaven prediken|keep row: both source and target contain non numerical text!
1645|Basya si wan fu den srafu, ma ook a lowe srafu si basya.|<unk> Een van de <unk> maar ook de <unk> slaaf|keep row: both source and target contain non numerical text!
1646|A srafu no sabi taki a wan basya-waktiman fu Alliance.|De slaaf weet niet dat de ene natie van <unk> is|keep row: both source and target contain non numerical text!
1647|A bari gi den trawan: Mati, mati, sombe.|Hij riep voor de <unk> <unk>|keep row: both source and target contain non numerical text!
1648|Matu, matu, suma e kon.|<unk> En wie prediken|keep row: both source and target contain non numerical text!
1649|Un go kibri.|<unk> ga <unk>|keep row: both source and target contain non numerical text!
1650|Di a basya si den srafu e lon, a bari: Mati, no lon.|Toen de natie de slaven <unk> de natie <unk> zag|keep row: both source and target contain non numerical text!
1651|Na a srefi sani tyari mi kon dya.|Evenzo bracht ik bekend|keep row: both source and target contain non numerical text!
1652|Un no lon.|<unk>|keep row: both source and target contain non numerical text!
1653|A mi.|Ik heb me.|keep row: both source and target contain non numerical text!
1654|Wakti mi.|Ik heb me.|keep row: both source and target contain non numerical text!
1655|Den seibi lowe srafu kibri sodati den de a baka a basya.|De eigen slaven behoeden zodat zij achter de natie zijn|keep row: both source and target contain non numerical text!
1656|Di den si a basya wawan de, den waka go miti en, ma den no sabi taki a ben de a basya fu Alliance.|Toen zij de natie alleen zagen en liepen , maar zij weten niet dat hij de natie <unk> was|keep row: both source and target contain non numerical text!
1657|Te den ben sabi, den ben o kiri a basya.|Wanneer zij de natie <unk> zouden doden|keep row: both source and target contain non numerical text!
1658|Den seibi srafu ben de now nanga a waktiman a den mindri.|De <unk> waren nu met de natie <unk>|keep row: both source and target contain non numerical text!
1659|A basya taigi den trawan a lowe bika a kori na uma fu wan srafu di wani kiri en.|De natie zei tegen de anderen omdat hij de vrouw van een slaaf heeft misleid die hem wil doden.|keep row: both source and target contain non numerical text!
1660|A waka langa, a breiti a feni mati bika a no prisiri fu waka ini a busi dei langa sondro fu si tra sma.|Hij liep en vond vriend omdat hij niet blij is in de ene dag zonder andere omstandigheden te zien|keep row: both source and target contain non numerical text!
1661|Ma wan fu den lowe nengre no e bribi san a basya taki, ma a no sabi a srafu ben de a waktiman fu Alliance.|Maar een van de <unk> gelooft niet wat de natie <unk> was maar hij wist de slaaf niet de situatie van <unk> .|keep row: both source and target contain non numerical text!
1662|A basya fu Alliance tan nanga den seibi srafu.|De eenheid van eenheid met de <unk>|keep row: both source and target contain non numerical text!
1663|Ala dei siksi srafu e go na waka.|Elke dag en slaven gaan naar <unk>|keep row: both source and target contain non numerical text!
1664|Den e go fisi, fufuru bana, kasaba ini den gron fu Alliance nanga L'Espérance.|Zij gaan <unk> en in de grond van <unk> en <unk>|keep row: both source and target contain non numerical text!
1665|Soleki den srafu seti, siksi e go fufuru, wan e tan ini a kampu sorgu fu patu.|Zoals de slaven <unk> gaan en een eeuwige zorg blijven|keep row: both source and target contain non numerical text!
1666|A basya-waktiman nanga a wan srafu ben e tan ini a kampu.|De situatie en de slaaf bleven in de natie|keep row: both source and target contain non numerical text!
1667|Di a basya-waktiman tan moro dan wan wiki nanga den seibi lowe srafu a baka Alliance, a taki: Mati, mi tan langa nanga unu.|Toen de natie meer dan een week met de <unk> en slaven achterbleef en zei: En ik ben lang met <unk> gebleven|keep row: both source and target contain non numerical text!
1668|Mi no e du noti.|Ik doe <unk> niet|keep row: both source and target contain non numerical text!
1669|Mi wani go nanga unu.|Ik wil met <unk> gaan|keep row: both source and target contain non numerical text!
1670|Den trawan taki: Nono, mati, yu e tan ini a kampu.|De anderen zeggen: En gij blijft in de natie|keep row: both source and target contain non numerical text!
1671|Tu e si moro dan wan man.|<unk> ziet meer dan een man.|keep row: both source and target contain non numerical text!
1672|A basya ori nomonomo, a wani go nanga den trawan.|De eenheid bewaren en wil met de <unk> gaan|keep row: both source and target contain non numerical text!
1673|Di den trawan ferferi den taki: A bun.|Toen de anderen en zeiden: De situatie|keep row: both source and target contain non numerical text!
1674|Tamara yu sa go nanga unu.|En gij zult met <unk> gaan|keep row: both source and target contain non numerical text!
1675|A basya e go now ala dei nanga den trawan ini a banagron fu Alliance.|De situatie gaat nu dagelijks met de anderen in de eenheid van <unk>|keep row: both source and target contain non numerical text!
1676|A ben wani sabi a pasi pe den trawan e waka.|Hij wilde de weg weten waar de anderen prediken|keep row: both source and target contain non numerical text!
1677|Olanga di a go nanga den trawan ma noiti a koti wan bosu bana di den trawan e tyari.|En toen hij met de anderen gaat , maar hij heeft nooit een natie gesneden die de anderen prediken|keep row: both source and target contain non numerical text!
1678|Wan dei di den ben de baka ini a banagron fu Alliance, a basya taki: Mati, un no mu koti bana tide nanga tamara a srefi presi.|Op een dag dat zij in de situatie van <unk> waren , zei hij: En gij moogt niet <unk> en morgen dezelfde natie oogsten|keep row: both source and target contain non numerical text!
1679|Disi no bun.|Dit is niet <unk>|keep row: both source and target contain non numerical text!
1680|Un mu koti someni presi pe bigi bosu bana de.|<unk> moet zoveel plaatsen opschieten.|keep row: both source and target contain non numerical text!
1681|A taigi den trawan a ben si den bosu bana someni langa.|Hij zei tot de anderen en zoveel <unk>|keep row: both source and target contain non numerical text!
1682|Ma di en wawan de a no koti.|Maar alleen hij is niet <unk>|keep row: both source and target contain non numerical text!
1683|Di den prati wroko, ibri man e go koti tyari go kibri.|Toen zij verspreiden en elke man tot <unk> afsnijden|keep row: both source and target contain non numerical text!
1684|A basya wakti te den trawan gwe, a lon wan moro syatu pasi go ini a pranasi go taigi skrifiman a fasi di den kan kisi den seibi lowe srafu.|De situatie wacht wanneer de anderen en hij een kortere weg naar de natie vluchtte om schrijvers te vertellen over de wijze waarop zij de <unk> kunnen verwerven|keep row: both source and target contain non numerical text!
1685|Basya go baka pe den trawan de.|En ga terug waar de anderen zijn.|keep row: both source and target contain non numerical text!
1686|A wan srafu di no e fertrow a basya si basya e bro hebi, disi wani taki a lon.|De onzichtbare slaaf , en dit betekent de natie|keep row: both source and target contain non numerical text!
1687|Sanede a lon?|<unk> de natie|keep row: both source and target contain non numerical text!
1688|Pe a lon go?|Waar hij vlucht en rende|keep row: both source and target contain non numerical text!
1689|A kruderi nanga ensrefi luku ala san basya e du.|In overeenstemming met zichzelf kijken wat <unk> predikt|keep row: both source and target contain non numerical text!
1690|A baka tu dei di basya konkru den trawan gi skrifiman, den srafu de makandra ini a kampu.|Na twee dagen die <unk> en de anderen voor <unk> zijn , zijn de slaven elkaar in de|keep row: both source and target contain non numerical text!
1691|Den e nyan tonton nanga katifisi-brafu.|Zij eten en eenheid|keep row: both source and target contain non numerical text!
1692|A basya taki: Brada, mi de langa nanga unu.|De natie zei: En ik ben lang met <unk>|keep row: both source and target contain non numerical text!
1693|Te wi o nyan, un mu begi, taki Gaangado tangi di un feni fisi di a no un kweki, bana un koti di a no un prani.|Wanneer wij zullen prediken en dankbaarheid die gij hebt gevonden en niet uw eigen oogst hebt afgesneden toen hij niet uw organisatie is|keep row: both source and target contain non numerical text!
1694|Mati, un mu begi trangatranga taki Gaangado e go yepi unu fu srudati no feni unu.|En gij moet bidden en dat <unk> ons helpt soldaten niet te vinden|keep row: both source and target contain non numerical text!
1695|A tra dei di alamala ben de a fesi a kampu e nyan pe wan bigi tafrabon de, a basya bigin taktaki tranga e ferteri tori.|De volgende dag dat allemaal voor de natie was , eet waar een groot en begint en sterk wordt verteld|keep row: both source and target contain non numerical text!
1696|A wan lowe nengre di no e fertrow a basya taki nanga ensrefi: Sanede wan lowe nengre di tan someni langa ini busi e taktaki so tranga?|Het ene onbekende kind met <unk> spreekt en een duurzame natie <unk> zo <unk> n situatie|keep row: both source and target contain non numerical text!
1697|Bika taktaki kan meki den kisi en.|Want <unk> kan hen laten ontvangen.|keep row: both source and target contain non numerical text!
1698|Di den go nyan baka, a basya taki: Brada, te wi e nyan un mu begi taki Gaangado tangi di e sorgu fu unu.|Toen zij gingen eten en zeggen: En wanneer wij eten , moeten wij bidden dat en dankbaarheid voor eeuwig zorgt|keep row: both source and target contain non numerical text!
1699|Mi e go leri unu.|Ik ga <unk> leren|keep row: both source and target contain non numerical text!
1700|Un taki baka san mi e go taki.|<unk> Denk na wat ik ga|keep row: both source and target contain non numerical text!
1701|A basya luku loktu, a taki: Ke, Gaangado, a dya un de.|De dag keek en zei: En hier zijn jullie been.|keep row: both source and target contain non numerical text!
1702|Brada, un begi nanga mi.|En gijlieden met mij.|keep row: both source and target contain non numerical text!
1703|Un de ini busi.|<unk> in eenheid|keep row: both source and target contain non numerical text!
1704|Efu a Gaangado no de nanga unu, noti fu un warti.|Als de situatie niet met <unk> niets van uw organisatie is|keep row: both source and target contain non numerical text!
1705|Brada, un begi, un begi.|En uw organisatie|keep row: both source and target contain non numerical text!
1706|A wan lowe srafu e luku a basya, a basya bari: Ke, Masra, un de ondro a bigi tafrabon.|De ene slaaf kijkt de natie <unk> en gij zijt onder de grote natie <unk>|keep row: both source and target contain non numerical text!
1707|Gaangado, gi unu krakti.|<unk> voor u|keep row: both source and target contain non numerical text!
1708|Brada, tapu un ai, un begi.|<unk> Op uw eigen dag|keep row: both source and target contain non numerical text!
1709|A wan lowe srafu si den trawan tapu den ai soleki a basya taki.|De ene slaaf zag de anderen op hun ogen zoals de natie <unk>|keep row: both source and target contain non numerical text!
1710|Ala a ten srudati de krosbei ini a busi.|Er zijn altijd soldaten en in de situatie|keep row: both source and target contain non numerical text!
1711|Den go safrisafri pe den lowe nengre de bika den srudati yere a taktaki fu a basya.|Zij gingen en waar de <unk> zijn omdat de soldaten de natie <unk> hoorden|keep row: both source and target contain non numerical text!
1712|A wan lowe srafu di no e fertrow a basya, koti wan bigi pisi tonton.|De ene slaaf die de natie niet predikt , heeft een groot deel geoogst|keep row: both source and target contain non numerical text!
1713|A teki fisi nanga brafu.|Hij nam <unk> en <unk>|keep row: both source and target contain non numerical text!
1714|A ben begi now nanga den trawan, ma a no ben tapu en ai.|Hij bad nu met de <unk> , maar hij bedekte zijn organisatie|keep row: both source and target contain non numerical text!
1715|Ai arki, a seti ensrefi, a ben fruwakti wan sani di e go pasa.|<unk> En de regeling en verwachtte iets wat tot <unk> leidt|keep row: both source and target contain non numerical text!
1716|Di den begi a basya taki: Brada, un no e begi tranga.|Toen zij de natie baden en zeggen: En gij bidt niet <unk>|keep row: both source and target contain non numerical text!
1717|Gaangado no e go yere.|<unk> gaat niet <unk>|keep row: both source and target contain non numerical text!
1718|A basya no taki den laatste wortu, srudati de a fesi den seibi lowe srafu.|De situatie is niet dat de laatste en militaire soldaten voor de <unk> liggen|keep row: both source and target contain non numerical text!
1719|Siksi lowe srafu den kisi.|<unk> <unk> slaaf de <unk>|keep row: both source and target contain non numerical text!
1720|Den no ben abi muiti fu bui den.|Ze hadden geen moeite om ze te zijn.|keep row: both source and target contain non numerical text!
1721|Ma a srafu di koti tonton, di teki brafu nanga fisi, soleki a yere wunyuwunyu a no ben drape moro.|Maar de slaaf die <unk> met <unk> heeft gekozen , zoals hij hoorde en hij was daar niet meer vertrokken.|keep row: both source and target contain non numerical text!
1722|Di den srudati poti isribui a den siksi srafu anu, a basya lafu.|Toen de soldaten en de slaven en de natie <unk> werden aangesteld|keep row: both source and target contain non numerical text!
1723|A taki: Ai, mi kisi unu.|Hij zei: En ik heb <unk> gekregen|keep row: both source and target contain non numerical text!
1724|Mi ben kisi wipi fu sani di mi no ben du.|Ik kreeg <unk> van dingen die ik niet predikte|keep row: both source and target contain non numerical text!
1725|Di den srafu sabi a so wan fisti prei a basya du nanga den, den srafu wraak, ma den no ben kan du noti.|Toen de slaven zo ' n situatie kenden en de slaven spelen , maar zij konden <unk> niet doen|keep row: both source and target contain non numerical text!
1726|Ma a fasi di den siksi lowe nengre luku a basya, efu ai ben kan kiri sma, a srefi ten a basya ben o dede.|Maar de kijk op de situatie als de <unk> moord en tegelijkertijd de natie <unk> zou prediken|keep row: both source and target contain non numerical text!
1727|A baka wan wiki di den siksi lowe srafu e koti strafu a Nieuw Amsterdam, basya di ben go baka ini en wroko no ben de bakadina na oso, sodati driktoro no ben kisi rapport a dei dati.|Na een week dat de <unk> slaven de natie straffen en die in zijn werk waren teruggekeerd , was niet <unk> de natie , zodat <unk> niet <unk> de dag <unk> werd ontvangen .|keep row: both source and target contain non numerical text!
1728|Di a uma fu basya no ben si basya wan ten fu seibi yuru a neti, a go na driktoro go aksi.|Toen de vrouw van <unk> niet zag en een tijd van <unk> uur de natie <unk> naar <unk> ging|keep row: both source and target contain non numerical text!
1729|Driktoro no sabi.|<unk>|keep row: both source and target contain non numerical text!
1730|A seni kari skrifiman di ook no sabi.|Hij stuurde schrijvers die ook niet <unk>|keep row: both source and target contain non numerical text!
1731|Ala a ten a ben de aiti yuru a neti, a lati fu suku basya.|Hij was altijd <unk> uur en de situatie om <unk> te zoeken|keep row: both source and target contain non numerical text!
1732|Driktoro taigi a uma fu basya go na oso.|En zeg de vrouw van <unk> naar huis meene.|keep row: both source and target contain non numerical text!
1733|Fruku mamanten den go suku basya.|En zij gingen <unk> zoeken|keep row: both source and target contain non numerical text!
1734|A tra dei skrifiman nanga dri srafu go ini a banagron.|De volgende dag gingen schrijvers en drie slaven in de situatie|keep row: both source and target contain non numerical text!
1735|A dow hebi ini a banagron.|De situatie is zwaar in|keep row: both source and target contain non numerical text!
1736|A tapu a grasi den si brudumarki.|Op de dag zagen zij <unk>|keep row: both source and target contain non numerical text!
1737|Now skrifiman denki a ben de wan tigri di kiri basya.|Nu denkte schrijvers een moordzuchtige natie|keep row: both source and target contain non numerical text!
1738|Den no ben tyari gon, den nengre no wani go moro fara.|Zij werden niet verenigd en wilden niet meer gaan|keep row: both source and target contain non numerical text!
1739|Ma no fara ben de wan pikin swampu.|Maar niet ver was een kleine natie|keep row: both source and target contain non numerical text!
1740|Di den waka go moro fara den si ini a swampu wan sani soleki wan fraga.|Toen zij verder in de situatie gingen zien|keep row: both source and target contain non numerical text!
1741|Den si a ben de basya, a waktiman, di ben de nanga den lowe srafu.|Zij zagen hem en de natie <unk>|keep row: both source and target contain non numerical text!
1742|A ben beri fasi nanga en ede ini a tokotoko.|Hij begraven met zijn hoofd in de situatie|keep row: both source and target contain non numerical text!
1743|En futu ben tai a loktu na tu tiki di ben sutu fasi ini a tokotoko.|Zijn voeten predikten de natie op twee stammen die in de natie stonden|keep row: both source and target contain non numerical text!
1744|Skrifiman nanga den srafu puru a dede basya tyari go ini a pranasi.|<unk> Met de slaven zijn de dood weggenomen en in de natie gebracht|keep row: both source and target contain non numerical text!
1745|Di den wasi a tokotoko den si a basya no ben abi tongo.|Toen de natie werd gewassen , zagen zij de natie niet <unk>|keep row: both source and target contain non numerical text!
1746|A wan lowe srafu ben koti en tongo poti ini en saka.|De ene slaaf oogstte zijn tong in zijn organisatie|keep row: both source and target contain non numerical text!
1747|Di den srafu ini a pranasi kon sabi san pasa nanga basya, fa en ben konkru, apinti dron naki dei nanga neti fu taigi den di e koti strafu san pasa.|Toen de slaven in de natie vernemen wat er met <unk> gebeurde , en hoe predikte hij dag en nacht tot hen die straffen wat <unk> veroordeelt|keep row: both source and target contain non numerical text!
1748|Di den sabi a basya-waktiman dede sondro tongo den taki: San pasa, pasa nanga reti.|Toen zij de eeuwige dood kenden zonder tong zeiden: Wat er met <unk> gebeurt|keep row: both source and target contain non numerical text!
1749|Un mati di de a dorosei du bun wroko soleki a fiti fu du nanga wan konkruman di na wan kiriman.|<unk> vrienden die de natie zijn en goede werken doen zoals het passend is met een natie te maken|keep row: both source and target contain non numerical text!
1750|Henny nanga en fo pikin brada ben go nyan vakantie na den granmama.|<unk> en zijn vier broers gingen eten en bij de <unk>|keep row: both source and target contain non numerical text!
1751|Henny ben de wan tranga yesi boi.|<unk> was een ongehoorzaam oor|keep row: both source and target contain non numerical text!
1752|Ala leisi en granmama ben bari en te a ben go zomaar ini a pomerakbon.|Telkens riep hij en schreeuwde hem wanneer hij de natie <unk> binnenging|keep row: both source and target contain non numerical text!
1753|Wan dei en granmama ben wasi krosi.|Op een dag waste zijn organisatie <unk>|keep row: both source and target contain non numerical text!
1754|Dan a seni den boi go prei.|Toen zond hij de jongens naar <unk>|keep row: both source and target contain non numerical text!
1755|Baka wan pisten birfrow kon luku granmama.|Na een <unk> kijk|keep row: both source and target contain non numerical text!
1756|A taki: Bigifrow, fa fu yu dan?|Hij zei: En hoe van uw zijde|keep row: both source and target contain non numerical text!
1757|Granmama taki: Mi de heri bun.|<unk> zei: Ik ben heel <unk>|keep row: both source and target contain non numerical text!
1758|Dan fa ai go nanga yu dan?|Dan gaat hij met uw organisatie|keep row: both source and target contain non numerical text!
1759|Birfrow taki: We, ai go heri bun.|<unk> zei: En hij gaat heel <unk>|keep row: both source and target contain non numerical text!
1760|Ma mi kon suku wantu pomerak.|Maar ik kom enkele <unk> zoeken|keep row: both source and target contain non numerical text!
1761|Oma piki: A bun.|<unk> De natie <unk>|keep row: both source and target contain non numerical text!
1762|Dan a kari: Henny, kon piki wantu pomerak gi birfrow.|Dan werd de natie <unk> een paar dagen voor <unk> beantwoord|keep row: both source and target contain non numerical text!
1763|Dan granmama gi Henny wan saka, èn a taki: Birfrow, wakti pikinso, mi o poti aleisi tapu faya.|Dan en voor <unk> een natie zei hij: <unk> wacht en ik zal <unk> op <unk> leggen|keep row: both source and target contain non numerical text!
1764|Di granmama si dati a saka ben furu, a bari: Henny, a sari.|Toen <unk> zag dat hij de natie <unk> de natie <unk> vernederde|keep row: both source and target contain non numerical text!
1765|Yu kan saka now.|U kunt neerdalen|keep row: both source and target contain non numerical text!
1766|Henny piki: Wakti, granmama.|<unk> <unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
1767|Mi si ete wantu lepi wan.|Ik heb nog enkele <unk> gezien|keep row: both source and target contain non numerical text!
1768|Dan a tai en empi, èn a furu en empi nanga pomerak.|Dan werd de natie <unk> met <unk> vervuld|keep row: both source and target contain non numerical text!
1769|Dan a saka.|Dan de natie|keep row: both source and target contain non numerical text!
