|nl|srn
226|Jarenlang gaf hij in de media analyses over nationale en internationale politieke en maatschappelijke ontwikkelingen, waarbij hij zich steeds manifesteerde als democratisch nationalist|Kondre ben sabi en fini fasi fu luku tori na radijo nanga tv pe a ben abi fu du nanga a libimakandra fu Sranan nanga tra dorosey kondre. Na den koti tori disi, yu ben kan si wan man di lobi en kondre ma ben feni taki a kondre disi musu tiri wan moro demokrasija fasi.
1726|Maak de deur dicht.|Tapu a doro.
535|Voortaan speelden de heren niet meer in deze societeit.|Dan den man no prei moro na ini a koleisi dati.
2127|Toen de agent aan de jongen vroeg hoe hij aan het geld kwam, begon hij te stotteren. Hij wist niet uit zijn woorden te komen.|Di skowtu aksi a boi pe a feni a moni, a bigin gagu. A no ben sabi san fu taki.
3340|Toen we aan het werk kwamen, kregen we het droevige bericht dat enkele medewerkers een ongeluk opgelopen hadden.|Di un kon na wroko, un kisi a sari boskopu tak' wantu wrokoman kisi mankeri.
3105|Kenneth is het laatste kind van zijn moeder.|Kenneth de a tapubere pikin fu en mama.
697|Ik ga u een verhaaltje vertellen over de mug.|Mi e go ferteri wan pikin tori fu maskita.
2566|De man vertelde een grappig verhaal, maar het was niet waar.|A man ben ferteri wan lafutori, ma a no ben tru.
1426|Boiki heeft het buurmeisje zwanger gemaakt.|Boiki gi a pikin fu sei bere.
1743|Je moet het land waar je navelstreng begraven ligt niet beledigen.|Yu no mus afrontu a doti pe yu kumbatitei beri.
1902|De manier waarop je leeft is niet goed.|A fasi fa yu e libi no bun.
3952|Mijn hele familie was op het verjaardagsfeest. We hadden een fijne tijd.|Mi heri famiri kon na a frijari-oso. Un prisiri sote!
3270|Elke keer als buurman dronken is, gaat hij te keer.|Ala leisi te birman drungu, a e rigeri.
1037|Er moet voldoende eten en drinken zijn.|Nyanyan nanga dringi mu de fu naki dagu.
208|Van een verhoor wordt een verslag gemaakt.|Wan verslag sa meki fu a verhoor, sobun wan skrifi fa a verhoor waka, a taki san yu ben abi nanga skowtu, nanga san den aksi yu: osuma taki san.
3116|Ik woon in een armoedig huis.|Mi e tan ini wan pina oso.
565|Zo was het.|A so a sani ben de.
313|Dus als de koningin jarig was dan gingen we op het plein zingen.|So te Koningin ben frijari dan un ben e go singi na pren.
601|Maar nu had God gezegd dat de dood deze man moest meenemen.|Ma now Gado taki Dede mu kon teki a man.
233|Zij was oprichter, voorzitter en artistiek leider van de sociaal-culturele vereniging Fiamba|Louise bigin nanga a kulturu orga Fiamba pe a ben de tiriman fu seti a kulturusey
3495|Een zucht geeft lucht aan een hart vol smart.|Efu soktu no ben de, ati ben sa priti.
931|Maar nadat Kip Kakkerlak had opgegeten en zijn snavel op de grond had afgeveegd, zei hij: Is dat geen Awari?|Ma di Fowru nyan Kakalaka, a figi en mofo na gron, a taki: A no Awari e kon drape?
3345|Die man heeft met niemand medelijden.|A man dati no abi sari-ati nanga no wan sma.
1507|De jongen schaamt zich om op straat te gaan, omdat hij een broek vol gaten aanheeft.|A boi e syen fu go na strati, bika a weri wan boro bruku.
111|Je hoeft geen antwoord te geven op de vragen (het mag wel).|A hulpofficier sa ferteri yu san na den leti di yu abi, èn a sa aksi yu sani.
2855|De buren lokken me allang uit, maar ik geef ze geen antwoord.|Someni langa den sma fu sei e suku mi mofo, ma mi no e piki den.
1089|Zo ga je om met een goede vriend.|Na so a mus de nanga trutrum mati.
2889|Dit werk is te zwaar voor mij.|A wroko disi e moro mi.
230|Louise 'Miwini' Wondel heeft steeds op heel bijzondere wijze haar marroncultuur in relatie tot land en volk belicht|Louise Miwini Wondel ben abi wan spesrutu fasi fa a ben e tyari a kulturu fu buskondre kon miti a folku fu en
2149|De jongen uit het binnenland kwam tien gram goud in de stad verkopen.|A Dyuka boi kon seri tin gran gowtu na foto.
2295|Als je geen toegangsbewijs hebt, mag je niet naar binnen.|Efu yu no abi karta, yu no mag psa go na inisei.
472|Maar ze deden het.|Ma den ben lo kon.
2176|Ik kan niet op de steen zitten, want het is ruw.|Mi no man sidon tapu a ston; a grofu.
2337|De vrouw stak de straat haastig over en sleurde het kind achter zich aan.|A frow abra a strati es'esi èn a ben e kiki a pikin na en baka.
3158|De jongen balanceert op de fiets.|A boi e poko tapu a baisigri.
1862|Deze dagen kan je niet voorspellen als het zal regenen of als we een mooie dag zullen hebben.|Den dei disi yu no man sabi efu alen o kon, efu noso wi o abi wan moi dei.
3139|Doe dat kind een broek aan, anders zal ze het heel huis bepissen.|Weri wan bruku gi a pikin noso a o pis'pisi a heri oso.
1420|De hindoestaan van op de hoek heeft een grote buik.|A kuliman fu tapu uku bere bigi.
3542|Het eten is te zout.|A nyanyan sowtu tumsi.
3384|Toen we hem een paar dagen niet gezien hadden, gingen we hem bezoeken.|Di un no si en wantu dei, un go fisiti en.
361|Als je beet hebt gaat de kurk naar beneden.|Efu wan fisi bigin nyan ai dukrun a korku.
135|Daarna wordt besloten of je nog langer moet blijven.|Baka dati skowtu sa kruderi ef' yu abi fu tan moro langa.
1134|Ik verzoek u, mag ik hem hier naast u zetten?|Mi e begi yu, mi kownu, mi kan poti en na wan sei dyaso?
3365|Omdat een van de poten van de tafel kort is, maakt dat het onstabiel staat.|Fu di wan fu den futu fu a tafra syatu, meki a e sek'seki pikinso.
1151|De koning keek in de mand.|Kownu go luku ini a baskita.
2633|Maak de boot licht, anders zal hij zinken.|Lekti a boto noso a o sungu.
2897|Tijdens volle maan is de maan heel vroeg 's middags te zien.|Te furu mun de, dan yu kan si a munkenki fruk'fruku bakadina.
1053|Dan spring je en grijp je hem.|Dan yu e dyompo, yu e grabu en.
3447|Voordat je de kip in de pom doet, moet je het eerst een beetje bakken.|Fosi yu poti a fowru ini a pom, i mu skreki en pikinso.
22|Als de opsporingsinstantie voor het inschakelen van een advocaat uw persoons-gegevens doorgeeft aan de Raad voor Rechtsbijstand worden deze verwerkt in de administratie van de Raad.|Efu a biro san e abi a verantwortu fu kari wan afkati, gi den enforma fu yu srefi na Rai fu Afkatiwroko, a Rai disi o wroko nanga a enforma na ini a tiri fu a Rai.
3867|De jongens rijden te hard.|Den boi e rei tumsi tranga.
3010|Het venster staat open.|A fensre opo.
3640|Ik heb mijn voet tegen die steen daar gestoten.|Mi stotu mi futu na a ston dape.
695|Waarom steekt de mug?|Fu sanede maskita e sutu?
420|Ik keek omhoog, toen zag ik heel veel rijpe kasjoema's in de boom.|Mi iti mi ai go na loktu, dan mi si someni lepi kasyuma de na ini a bon.
2330|De koekjes zijn verborgen zodat de kinderen ze niet kunnen zien.|Den kuku kibri fu den pikin no si den.
460|Ze werden bijgestaan door basja's en andere hoofden.|Den basya nanga den tra edeman ben yepi den.
1067|Daarna speelden ze nog enige leuke stukken.|A baka dati wantu moi stuk prei ete.
87|Je wordt verdacht van een strafbaar feit|Wi denki yu du wan kruktu du
282|Het verhaal dat ik nu ga vertellen gaat over een koek die ik in een vat met as liet vallen.|A tori san mi e go taki now na di mi ben sa abi twarfu yari di mi ben meki wan kuku fadon ini wan asisibari.
2918|Ik ging met mijn broer naar de stad.|Mi go nanga mi brada na foto.
2282|Ik riep de jongen, maar hij hoorde me niet.|Mi kari a boi, ma a no yere mi.
1506|Ik kan het gat niet maken, omdat de boor bot is.|Mi no man boro a olo bika a boro dede.
3936|Hij kerfde de schoolbank met een mes.|A tyerfi a skorobangi nanga wan nefi.
1391|Waarom maakt die auto zo'n lawaai?|Fa a oto e bari so?
859|Anansi zei: Neen, schei uit, dat kan niet!|No, kba ba, dat' no kan!
533|Want wie met de duivel speelt zal alleen maar verliezen.|Bikasi suma prei nanga Didibri, a sa lasi nomonomo.
3375|Als de zenuwen van je hand zijn doorgesneden, heb je geen gevoel meer in je vingers.|Efu den senwe ini yu anu koti, dan yu no man firi nanga yu finga moro.
2390|Ik ga je met de knokkels op je hoofd slaan.|Mi o koko yu na yu ede.
3842|Buurvrouw heeft ruzie met me.|Birfrow abi wan toko nanga mi.
3239|De wanden van het huis zitten vol barsten.|A ososkin lai prit'priti.
3291|Je ziet ze als fb{zachtmoedige|Yu e si den leki safri-ati sma, ma no suku den nanga trobi. Den sabi feti!
2905|Zet het geld op de tafel.|Poti a sensi a tapu a tafra.
2898|Laat ons een beetje gaan wandelen. Het is een mooie avond met maneschijn.|Kon un go koiri pikinso. A neti moi, munkenki de.
4088|Oma is al op leeftijd vandaar dat ze niet meer kan lopen.|Granmama de tapu en yari kba, dati meki a no man waka moro.
1600|Ik ben momenteel in de war. Kom liever morgen terug.|Mi ede bruya now. Betre yu kon tamara baka.
1760|De zaak gaat goed.|A zaak e drai.
1513|De mensen hadden een wachter aangesteld zodat niemand zonder te betalen de plaats kon binnengaan.|Den sma poti wan waktiman fu luku taki boroman no ben kan kon na ini a presi.
4056|Ik heb de strijd gewonnen, dus ben ik winnaar geworden.|Mi wini a feti, so mi tron winiman.
1393|Ik heb je gewaarschuwd, maar je heb niet geluisterd.|Mi ben bari yu, ma yu no yere.
942|Ik verkoop ze maar ik geef je er wel een om je te drinken.|Mi o go seri den, ma mi o gi yu wan, meki yu dringi.
2338|De dief rukte de portemonnee uit de vrouw haar hand.|A fufuruman kiki a portmoni puru na a frow anu.
3986|Hij werd erg boos om hetgeen ik gezegd heb.|Fu a sani di mi taki, a man kisi wán atibron.
1950|Vandaag ben ik vergeten om de kinderen op te halen.|Mi fergiti fu go teki den pikin tide.
3672|Kijk wie komt!|Luku suma e kon!
2333|Heimelijk verliet hij de plantage zodat niemand het te weten kwam.|A kmopo na pranasi kibrifasi fu no wan sma no sabi.
121|Wat gebeurt er nog meer?|San e pesa moro fara?
887|Maar wat wil je?|Ma san yu wani?
2942|Ik had nooit kunnen denken dat zoiets zou gebeuren.|Noiti mi kisi ini mi prakseri taki so wan sani bo psa.
685|Maar toen ik de man weghaalde, kwam de dame om te helpen.|Ma di mi puru a man, dan a dame kon yepi.
1839|Rodney, je moet straks voor me naar de winkel gaan.|Rodney, dyonsro i mu go na wenkri gi mi.
3728|Deze jongen begrijpt niet wat je hem zegt.|A boi disi no e ferstan san yu e taigi en.
413|Wanneer de vrucht rijp is, krijgt het een mooie rose kleur en smaakt ook heel goed.|Te a froktu disi lepi bun a kon ros moi èn a switi srefsrefi.
789|Maar nu is het dode lichaam van de vrouw, dit tot stof en as vergingen, wormen geworden die zich ontwikkelen tot muggen.|Dan now a dedeskin fu a frow, di tron soso doti nanga asisi, a tron woron di e meki maskita.
3160|De CD is al uitgekomen.|A poku kon na doro kba.
1532|Als je een koek bakt moet je je blik eerst beboteren, want anders blijft hij vastzitten.|Te yu e baka wan kuku, yu mus botro yu blik noso a kuku o fasi.
1580|Ro vertelde mij dat toen ze naar het feestje zijn geweest, ze tot zonsopgang gedanst hebben.|Ro taigi mi tak' di den go na a dansi, den broko a dei.
3180|Waar zit je over te peinzen?|San yu e sidon prakseri so?
1491|Omdat ik op buiten woon, kan ik niet iedere keer naar de stad komen.|Fa mi e tan na boiti, mi no man kon ala yuru na foto.
2952|Als iets niet naar haar zin is, haalt ze er haar neus voor op.|Te wan sani no fiti en ai, a e hari en noso.
272|In 1975 begon Pansa - nog steeds in dienst bij de Suralco met zijn echtgenote tevens zakenpartner Juliana Papotto, een taxi- en busbedrijf.|1975 Pansa - ala di a ben e wroko ete gi Suralco - makandra nanga en wefi Yuliana Papotto, di ben de en leti-anu na ini bisnis, a bigin wan taxi- nanga búswrokopresi.
1916|Je hebt een lekker geurende haarvet voor je haar gebruikt.|Yu poti wan switi fatu gi yu wiwiri!
521|De anderen dachten dat hij al dood was.|Den denki taki a dede kba.
522|Met de rest van het putwater in de emmer, brachten ze hem bij.|A embre di ben abi a pet'watra di a man ben dringi, a dati den teki, nati a man fesi fu kisi ensrefi baka.
3821|Als jullie niet rustig zitten, zal mama jullie met een stok komen zwepen.|Efu un no sidon pi, mama o kon tiki unu.
3784|De mannen zijn tegen middernacht aangekomen.|Den man kon te mindrineti.
2600|Een aantal jaren geleden waren er een paar soldaten in het bos verdwaald.|Wantu yari psa wan tu srudati ben lasi ini a busi.
3666|Als je diabeet bent, mag je niet veel zoetigheid eten.|Te yu abi sukru, yu no mu nyan furu switisani.
350|Een andere weg om bij de mensen in huis te komen was er niet.|Tra presi no ben de fu yu kon ini a dyari.
1732|Mijn moeder klaagt telkens over de spijsolie schaarste.|Doro mi mama e kragi fu a oli tori.
2377|Sientje knort altijd als je haar vraagt om iets te doen.|Sientye e knoru ala leisi te yu e aksi en fu du wan sani.
3226|Ik vind het aangenaam wanneer iemand me op zijn feest uitnodigt.|Mi e prisiri te wan sma kari mi kon na en fesa.
2720|Omdat de man van buurvrouw het hele jaar ziek was, kon ze het niet meer volhouden. Ze ging toen de wonderdokter raadplegen.|Fa a birfrow masra siki heri yari, a no man moro, a lon go koti wan luku.
651|Er was er veel verdriet|Tumsi sari.
1552|Zijn geloof is zwak.|A bribi fu en swaki.
3577|Voor je naar het buitenland gaat, moet je naar het BOG gaan voor een injectie.|Te yu e go na dorosei kondre, yu mu go na BOG go teki spoiti.
3839|Iedereen moet opstaan wanneer de President de kamer binnenkomt.|Ala sma mus opo tnapu te President kon ini a kamra.
2768|Zet een teken op de plank waar hij gezaagd moet worden.|Poti wan marki tapu a planga pe den mu koti en.
118|Je hebt het recht de processtukken (wat de politie over jouw zaak heeft opgeschreven) te lezen.|Yu ab' na leti fu leysi ala den papira san skrifi abra a tori in' san yu de (sobun ala san skowtu skrifi abra yu tori, san den denki psa).
1886|Alles is duur geworden. Hoe dan ook eten we nog.|Ala sani kon diri. Fa a no fa wi e nyan ete.
2236|Ik heb een heleboel sinaasappels geplukt.|Mi piki wan her'ipi apresina.
168|Dit heet zwijgrecht.|Disi den kari zwijgrecht.
3845|De straat is modderig vanwege de regen.|A pasi tokotoko fa a alen kon.
962|Het kokosnootwater is lekker hoor.|A krontowatra switi, yèrè.
945|Toen Awari achter het huis ging, zag hij Kip.|Di Awari go na baka oso, a si Fowru.
462|Op zaterdagmiddag werd er niet gewerkt.|Ma te satra bakadina, den sma no ben wroko kwetikweti moro.
1937|Verveel die vrouw niet want ze is een driftkikker.|No ferferi a frow dati bika en na wan faya-ati sma.
328|De hele dag werd er op school niet gewerkt, alleen pret gemaakt.|Dan a heri dei dati un no ben abi fu leri, soso meki prisiri.
3038|Deze buurt heet Charlesburg, maar men noemt het ook Crepi.|A birti disi na Charlesburg, ma den e kari en Crepi owktu.
2345|Als je weggaat moet je het licht uitdoen, hoor.|Te yu e gwe yu mu kiri a faya, yèrè.
3608|Vandaag heb ik tot acht uur geslapen.|Tide mi sribi te aiti yuru.
1360|Als je gauw geholpen wil worden, moet je hen een steekpenning geven.|Efu yu wani fu den yepi yu gaw, dan yu mu gi den wan bakafinga.
1831|De vader trok partij voor zijn zoon om te voorkomen dat de politie hem zou meenemen.|A papa dyompo gi en boi fu skowtu no tyari en gwe.
367|De andere familieleden kwamen snel te hulp.|Den tra famiri kon yepi tu.
3586|Je hoeft het wiel niet weg te halen. Je kan de binnenband uitlepelen en daarna lappen.|I naf' puru a wiel. I kan spun a banti kon na doro dan yu e lapu en.
3127|Toen ik bezoek bracht aan mijn oom in het ziekenhuis, lag hij op sterven.|Di mi go luku mi omu na at'oso, a ben e pipa.
2781|Toen hij begreep wat voor kwaad hij de andere aangedaan had, kreeg hij spijt.|Di a kon ferstan sortu ogri a du a trawan, a sani masi en ati.
2384|Ik zal hem een muilpeer verkopen!|Mi o was' en wan kofu na en fesi!
2107|Ze spreken over Anansi.|Den e taki wan tori fu Anansi.
2016|Ga de broek passen, laat me zien als het goed zit.|Go fiti a bruku, meki mi si efu a sidon bun na yu skin.
772|De man zelf schrok.|A man srefi kon skreki.
1284|Ik ging met een lege maag slapen omdat er geen brood was.|Mi go sribi nanga angribere bika brede no ben de.
2628|Hij draalde niet langer maar sprong in het water.|A no draidrai moro leki a dyompo go ini a watra.
3716|Omdat de rivier onstuimig was, bleven de boten aan wal.|Fu di a watra ben sekseki tumsi ini a liba, den boto tan na syoro.
3260|Ik ga een advocaat raadplegen.|Mi e go suku rai na wan afkati.
498|De man kwam binnen, het was wat donker, want er brandde maar één olielamp.|A man kon na ini, a ben dungrudungru pikinso, bikasi na wan oli lampu ben leti nomo.
1414|Ik lag in het ziekenhuis.|Mi ben de na ati-oso.
1234|De mannen die het land besturen, moeten nuchter zijn.|Den man san e tiri a kondre mus de nanga krin ai.
1770|Je moet niet langer dralen met deze ziekte. Ga snel naar de dokter.|I no mu draidrai nanga a siki moro. Go es'esi na datra.
435|Fine gaat dood!|Fine e dede!
1251|De regering en de artsen hebben een overeenkomst bereikt over het bedrag dat van de patiënten gevraagd mag worden.|Lanti meki wan kruderi nanga den datra abra a moni san den mus aksi den sikisma.
365|Ze riep om hulp.|A bari.
2453|Meisje, ik weet niet hoe je met zo een gierige man kan opschieten.|Meisye, mi no sabi fa yu kan koti nanga sowan gridi man.
276|Zijn eigen bedrijf H.|En eygi wrokope H.
3482|Voordat mijn moeder kleren strijkt bevochtigt zij ze eerst, daarna wikkelt zij ze in en dekt ze af zodat ze doordrongen kunnen worden met waterdamp.|Fosi mi mama e triki krosi a e nati den, a e domru den, dan a e tapu den meki den smuru.
2323|1 juli is onze emancipatiedag.|1 yuli na ketikoti.
1812|Berto bluft dat hij alle soorten werk kan doen, maar hij weet niets te doen.|Berto e dyaf taki a kan du ala wroko, ma a no sabi du noti.
407|Nu ga ik vertellen hoe ik voor het eerst in een boom klom.|A tori di mi wani ferteri now na di mi kren go ini wan bon a fosi leisi.
3808|Een kleine man als ik wordt niet gerespecteerd door die rijkelui.|Wan pikin man leki mi no e teri gi den bigidagu dati.
2358|Maak je niet druk. Je hebt me voor de gek gehouden.|No span. I kisi mi.
1444|Je kan het besluit dat genomen is, niet meer veranderen.|Yu no kan kenki a besroiti san meki kba.
2542|Ik heb een pakje koek gekocht, maar de jongen heeft ze allemaal opgegeten.|Mi bai wan paki kuku ma a boi nyan den alamala.
844|Daarna ga ik het verkopen.|Dan mi e gwe go seri.
4103|Oude mensen zeggen: Wanneer je een kikker schopt, zal je oorpijn krijgen.|Bigisma taki: Te yu skopu wan todo, yu o kisi yesi-ati.
1539|De politie heeft de dief gearresteerd.|Den skowtu bowtu a fufuruman.
86|Stel deze dan aan uw Nederlandse advocaat of de opsporingsambtenaar.|Aksi yu afkati fu Holand efu a lantiman san e abi a verantwortu fu suku sma.
1652|Toen de boot omkantelde, zijn vijf mensen verdronken.|Di a boto drai tapu, feifi sma dede na watra.
2121|Alle gereedschappen van het kantoor zijn verdwenen.|Ala den wrokosani ini a kantoro kisi futu.
2196|Vanmorgen ben ik helemaal naar de stad geweest om medicijn te zoeken.|Di mamanten mi gwe go te na foto e suku dresi.
2042|Op die dag werden de twee mannen vrienden. Maar voordien leefden ze in vijandschap met elkaar.|A dei dati den tu man tron mati. Ma fosi dati den ben libi leki feyanti nanga densrefi.
1569|De winkeliers kopen grote zakken suiker en verdelen ze in pakjes van een kilo.|Den wenkriman e bai den bigi saka sukru, dan den e broko en ini paki fu wan kilo.
1728|Ga buiten de bezem halen.|Go na doro go teki a sisibi.
855|Als het voor jou was zou ik je wellicht niets gegeven hebben, man omdat het voor de kinderen is.|Efu a ben de fu yu, kande mi no ben sa gi, ma fu den pikin.
1736|Moeder zeefde de blom om de koek te bakken.|Mama doro a blon fu meki a kuku.
78|u later niet meer kunt terugkomen op deze beslissing;|bakaten yu no kan kon baka na tapu disi bosroiti;
944|Loop maar zachtjes.|Waka safri.
199|Bijvoorbeeld je vader of moeder of een andere volwassene.|A kan de yu p'pa, yu m'ma noso wan tra bigisma.
1832|Deze vissen schijnen oud te zijn, want ze ruiken bedorven.|Den fisi disi na owru fisi bika den smeri dyompo.
1730|Met de feestdagen blijft niemand thuis. Men gaat op stap.|Feestedei sma no e tan na oso. Den e go na doro.
801|Man nu heeft Anansi het zo moeilijk dat hij niet in staat is zijn kinderen te verzorgen.|Ma now Anansi ben e pina srefsrefı, a no ben abi not'noti fu gi den pikin.
2495|Nu ga ik jullie het laatste gedeelte van het verhaal vertellen.|Now mi o gi unu a kriboi pisi fu a tori.
1894|Het wordt eb.|A watra o fala.
2378|Deze vrouw heeft slechts één kind.|A frow disi abi wan kodo pikin.
2836|Als je weet dat je je mond niet kan houden, dan is het beter dat we je het niet zeggen.|Efu yu sabi taki yu mofo e gi yu wroko, dan betre un no taigi yu.
231|Haar gedichten vormen een aanklacht tegen de sociale wantoestanden, de onderdrukte positie waarin de marrons verkeren en tegen de vervreemding die het stadse leven teweeg heeft gebracht in hun eigen cultuur, normen en waarden|Nanga den puwema fu en, a ben krutu den heri ipi sani di no ben e waka bun na ini un libimakandra. Fa buskondre sma e tan na ondro dwengi ete, fa fotolibi e meki den lasi den eygi kulturu, den eygi warti nanga den eygi fasi fu libi
1973|Zolang ze maar ruzie blijven maken, komt het land niet vooruit.|Solanga den e tan feti, a kondre no o go na fesi.
1033|Maar, je moet hem wel wat betalen want je weet dat je geen kosteloze rechtsbijstand kan krijgen.|Ma, yu mu pai en wan pikin moni, bika yu sabi taki yu no kan kisi afkati wroko fu soso.
3079|Na de zware regenval was het hele achtererf drassig.|Baka a bigi alen, a heri bakadyari ben patyapatya.
2309|Het is gevaarlijk om de rivier over te steken als het hard waait.|Na wan kefalek sani fu abra a liba te a winti e wai tranga.
2334|Ze moeten het stiekem gedaan hebben, want niemand heeft het gezien.|Den ben mus fu du a sani kibrikibri, bika no wan sma no si.
1572|Ik ben als een halve cent. Niemand kan me breken.|Mi na afusensi. No wan sma no kan broko mi.
2044|Er is nog steeds een ouderwetse keuken te vinden waar het gerechtsgebouw stond.|Wan fosten kukru de fu feni ete pe a krutu-oso ben de.
2080|Ondanks ik in de gevangenis zit, voel ik me vrij.|Awinsi mi de na straf'oso, mi firi fri.
3959|Ik zal het gras een beetje wieden voordat het te heet wordt.|Mi o wai a grasi pikinso fosi a son kon faya tumsi.
1143|Toen kwam zij weer naar het huis van de koning.|Dan a doro baka na kownu oso.
3694|Neem maar één lucifer.|Teki wan tiki swarfu nomo.
191|Als je dit te vaak vraagt, kan de politie 'nee' zeggen.|Yusrefi kan aksi owktu te yu wan' taki nanga yu afkati sondro tra sma.
104|De politie moet u informeren dat uw kind is aangehouden en op het politiebureau verblijft.|San den ouders, voogd, noso sma di e sorgu yu mus' fu sabi.
3063|Je documenten zijn niet in orde.|Den papira fu yu no bun.
1971|Vorig jaar heeft het geregend, maar het jaar daarvoor helemaal niet.|A yari di psa alen fadon, ma a yari na fesi a no kon srefsrefi.
2700|Waarom ga je tekeer?|Fusanede yu e go na loktu?
1905|Op school heeft men ons één manier geleerd om het werk te doen. Maar hier op het werk doen we het anders.|Na skoro den leri un wan fasi fu du a wroko, ma dya na wroko wi e du sani tra fasi.
2970|Hoe breed is de Surinamerivier?|O bradi Srananliba de?
3351|Als u hier klaar bent, moet u daarheen gaan.|Te yu kba dya, dan yu mu go na dat' sei.
1598|Er was grote verwarring in het dorp toen de soldaten kwamen.|Wan heri bruya ben de ini a dorpu di den srudati kon.
2312|Omdat het morgen een feestdag is, hebben ze de schooltijd veranderd.|Fa tamara de wan feestedei, den man kenki a skoro yuru.
1749|De gasbom die ik heb gebracht, heeft mijn kleren vuil gemaakt.|A gasbom san mi tya kon doti mi krosi.
3335|De vloer is zanderig.|A oso santi.
3159|Jij blijvenzitter!|Yu tan poko Yantye yu!
2498|De jongen heeft nog geen begrip van de zaak.|A boi ferstan no krin ete.
3349|Ze hebben het bericht overal verspreid.|Den panya a nyunsu na ala sei.
2166|Ze kwamen tot vlak voor de grafopening om de bloemen op de kist te werpen.|Den waka kon te na grebimofo fu trowe den bromki tapu a dedekisi.
2509|Hoewel de minister zijn best ook doet, toch kruisigen ze hem.|Wins' fa minister du ala muiti, toku den e kroisi en.
2886|Mijn broer is langer.|Mi brada moro langa.
4049|We komen straks.|Wi e kon dalek.
2247|Maak de motor open zodat we de onderdelen kunnen bekijken.|Opo a masyin fu un kan luku en inibere.
3000|Ondanks het grondig onderzoek dat de dokter gedaan heeft, heeft hij toch niets kunnen vinden.|Nanga a heri ondrosuku san datra du, toku a no feni noti.
3488|In de tijd voor de emancipatie, oftewel gedurende de slavernij, waren de slaven verplicht hard te werken.|Ini a ten fosi maspasi, sobun ini a srafuten, den srafu ben mus fu wroko tranga.
994|Anansi doet soms goede daden, man dit was een gemene streek van hem.|Anansi e du bun, ma a sani disi ben de wan tumsi takru streik fu Anansi.
464|Meestal kregen ze levensmiddelen om precies te zijn.|Moro furu den ben kisi nyanyan fu taki leti.
3274|Ze rouwen voor de doden.|Den e row gi den dede.
1575|De jongen heeft het glas in stukken gebroken.|A boi brokobroko a grasi.
3326|Ik weet niet wat de jongen is komen doen.|Mi no sabi san a boi kon fu du.
2241|Elke boom die geen goede vruchten geeft, zullen ze omhakken.|Ibri bon san no e gi bun froktu, den o kapu trowe.
1236|Ze hadden me onderschat. Maar toen ze zagen dat ik het werk goed kon doen, kregen ze respect voor me.|Den ben doro mi na ai. Ma di den si tak' mi sabi a wroko, den kisi lespeki gi mi.
2503|De man heeft dat geval duidelijk uitgelegd.|A man taki a tori krin.
3778|Let op bij het eten van sterappel dat je mond niet kleverig maakt.|Luku bun te yu e nyan sterapra tak' a no taratara yu mofo.
212|De officier van justitie en daarna soms ook een rechter lezen later wat jij hebt verteld.|Te moro lati a officier fu yustitie, nanga baka en sonten owktu a krutubasi (a rechter), den o leysi san nanga san yusrefi ferteri skowtu.
1036|Organiseer een groot feest.|Yu mu gi wan bun bigi fesa.
4013|Ik ga mijn waterrekening betalen.|Mi e go pai watra.
900|Ik weet dat ik jou betalen moet.|Mi sabi taki mi mu pai yu.
1446|Kun je een stukje aas aan de hengel voor me zetten?|Yu kan poti wan pisi beti na a uku gi mi?
1714|Het dondert.|Dondru e bari.
2632|Kantoor werk is licht werk.|Kantoro wroko na lekti wroko.
1791|Ik stond op het punt te vertrekken, maar nu je al op mijn drempel staat kan ik je niet laten gaan.|Mi ben de fu gwe, ma fa yu doro na mi dromofo kba, mi no kan seni yu gwe.
741|De oude man was slim.|A granmasra ben de wan koni man.
3980|Een tyotyovogeltje wordt nooit veel groter. Hij blijft hetzelfde.|Wan tyotyofowru no e kon moro bigi. A e tan wan.
3207|Omdat de twee mannen geen overeenstemming konden bereiken, kwam er verdeeldheid in de groep.|Fu di den tu man no man agri, meki pratifasi kon ini a grupu.
4029|Kom je morgen? Wel, ik weet het niet.|Yu o kon tamara? We, mi no sabi.
1206|Vliegtuigen mogen niet over de stad vliegen.|Den plane no mag frei abra a foto.
509|De gast kende het spel goed.|A man sabi a prei, yere
597|Zo had hij een baantje bij de boten gevonden.|Dan na so a ben kon feni wan pikin wroko na den boto.
1962|Harry Jong Loy vertelde leuke fabels.|Harry Yong Loy ben ferteri moi anansitori.
981|Was je gezicht in de tobbe met water die onder de kokosboom staat.|Go wasi yu fesi na ini a tobo waka na ondro a krontobon.
1582|Hij heeft de thee laten staan totdat het lauw geworden is.|A libi a te te leki a kon brokokowru.
3651|Transvaal en Robinhood strijden om de overwinning.|Transvaal nanga Robinhood e strei fu wini.
518|Maar opeens viel hij flauw.|Ma wantron so a man fadon flaw go na wan sei.
2428|Die man heeft me voor de gek gehouden dat hij zou komen.|A man kori mi taki a bo kon.
767|Toen werd de vrouw boos.|Dan now a uma atibron.
2545|Hoe die korte jongen naast die lange staat, lijkt hij korter te zijn dan hij is.|Fa a kundu boi knapu sei a langa wan, a e sori moro syatu leki a de.
4098|God verhoort geen gebeden wanneer wij dat willen.|Gado no e yere begi te wi wani.
2846|De uitspraken van een moeder zijn niet uit te wissen.|Mama mofo na bana watra.
421|Ik keek rond om er zeker van te zijn dat niemand mij zag.|Mi drai lontu fu si efu no wan sma no e luku mi.
